id,label,interval,type,disclass
294,"Aneurysm, familial arterial",,disease,Unclassified
301,EBD,,disease,Dermatological
303,"Toenail dystrophy, isolated",,disease,Dermatological
304,Transient bullous of the newborn,,disease,Dermatological
305,Fuchs endothelial corneal dystrophy,,disease,Ophthamological
310,Marshall syndrome,,disease,Multiple
311,OSMED syndrome,,disease,Bone
312,Weissenbacher-Zweymuller syndrome,,disease,Connective tissue disorder
313,Pseudoachondroplasia,,disease,Skeletal
316,"Hemosiderosis, systemic, due to aceruloplasminemia",,disease,Hematological
317,Hypoceruloplasminemia,,disease,Metabolic
334,Pilomatricoma,,disease,Cancer
342,Coumarin resistance,,disease,Hematological
363,Dopamine beta-hydroxylase deciency,,disease,Metabolic
365,Angiotensin I-converting enzyme,,disease,Endocrine
366,"SARS, progression of",,disease,Immunological
368,"Lower motor neuron disease, progressive, without sensory symptoms",,disease,Neurological
374,Jensen syndrome,,disease,Neurological
375,Mohr-Tranebjaerg syndrome,,disease,Neurological
376,Meniere disease,,disease,Neurological
380,Benzene toxicity,,disease,Unclassified
386,Duchenne muscular dystrophy,,disease,Muscular
403,Dilated cardiomyopathy with woolly hair and keratoderma,,disease,Multiple
404,Skin fragility-woolly hair syndrome,,disease,Dermatological
405,"Dentin dysplasia, type II",,disease,Bone
406,"Dentinogenesis imperfecta, Shields type",,disease,Bone
407,Achondrogenesis Ib,,disease,Bone
409,Diastrophic dysplasia,,disease,Skeletal
415,Shah-Waardenburg syndrome,,disease,Multiple
416,ABCD syndrome,,disease,Multiple
422,"Hematopoiesis, cyclic",,disease,Hematological
424,Supravalvar aortic stenosis,,disease,Cardiovascular
425,Williams-Beuren syndrome,,disease,Multiple
434,Estrogen resistance,,disease,Endocrine
442,Branchiootic syndrome,,disease,Neurological
453,Aortic aneurysm,,disease,Cardiovascular
455,MASS syndrome,,disease,Connective tissue disorder
456,Shprintzen-Goldberg syndrome,,disease,Multiple
468,Aarskog-Scott syndrome,,disease,Multiple
473,Achondroplasia,,disease,Skeletal
475,Cervical carcinoma,,disease,Cancer
477,Hypochondroplasia,,disease,Skeletal
478,Muenke syndrome,,disease,Skeletal
479,"Thanatophoric dysplasia, types I and II",,disease,Skeletal
480,Apert syndrome,,disease,Connective tissue disorder
481,Beare-Stevenson cutis gyrata syndrome,,disease,Multiple
482,Craniofacial-skeletal-dermatologic dysplasia,,disease,Multiple
486,Hypofibrinogenemia,,disease,Hematological
490,Axenfeld anomaly,,disease,Ophthamological
492,Iris hypoplasia and glaucoma,,disease,Ophthamological
502,Larson syndrome,,disease,Skeletal
503,Spondylocarpotarsal synostosis syndrome,,disease,Skeletal
523,Favism,,disease,Metabolic
524,G6PD deficiency,,disease,Metabolic
535,Dyserythropoietic anemia,,disease,Hematological
536,Macrothrombocytopenia,,disease,Hematological
540,Hyperinsulinism,,disease,Metabolic
542,Adult i phenotype,,disease,Hematological
552,Hypoplastic left heart syndrome,,disease,Cardiovascular
553,Oculodentodigital dysplasia,,disease,Skeletal
554,Syndactyly,,disease,Skeletal
555,Bart-Pumphrey syndrome,,disease,Multiple
556,Hystrix-like ichthyosis with deafness,,disease,Multiple
557,Keratitis-ichthyosis-deafness syndrome,,disease,Multiple
558,"Keratoderma, palmoplantar, with deafness",,disease,Dermatological
563,Simpson-Golabi-Behmel syndrome,,disease,Multiple
576,McCune-Albright syndrome,,disease,Multiple
577,Osseous heteroplasia,,disease,Bone
578,Pseudohypoparathyroidism,,disease,Endocrine
579,Somatotrophinoma,,disease,Endocrine
585,Glutathione synthetase deciency,,disease,Metabolic
605,"Sandho disease, infantile, juvenile, and adult forms",,disease,Metabolic
606,Hemolytic-uremic syndrome,,disease,Hematological
608,Nephropathy-hypertension,,disease,Renal
627,Vertical talus,,disease,Skeletal
633,Costello syndrome,,disease,Multiple
637,"Apparent mineralocorticoid excess, hypertension due to",,disease,Bone
643,Alcohol dependence,,disease,Unclassified
644,Anorexia nervosa,,disease,Nutritional
645,Seasonal affective disorder,,disease,Psychiatric
663,Graft-versus-host disease,,disease,Immunological
664,Allergic rhinitis,,disease,Immunological
665,Hyperproinsulinemia,,disease,Endocrine
667,Leprechaunism,,disease,Developmental
668,Rabson-Mendenhall syndrome,,disease,Multiple
669,Pancreatic agenesis,,disease,Gastrointestinal
670,Macrocytic anemia,,disease,Hematological
680,"Myelofibrosis, idiopathic",,disease,Hematological
686,Acquired long QT syndrome,,disease,Cardiovascular
687,Persistent hyperinsulinemic hypoglycemia of infancy,,disease,Metabolic
689,Myokymia with neonatal epilepsy,,disease,Neurological
693,Mast cell leukemia,,disease,Cancer
694,Mastocytosis with associated hematologic disorder,,disease,Immunological
695,Piebaldism,,disease,Dermatological
701,Stomach cancer,,disease,Cancer
702,Cyclic ichthyosis with epidermolytic hyperkeratosis,,disease,Dermatological
704,"Unna-Thost disease, nonepidermolytic",,disease,Dermatological
709,"Nevus, epidermal, epidermolytic hyperkeratotic type",,disease,Dermatological
716,Laryngoonychocutaneous syndrome,,disease,Multiple
743,Bone mineral density variability,,disease,Bone
745,"Hyperostosis, endosteal",,disease,Bone
746,Osteoporosis-pseudoglioma syndrome,,disease,Bone
747,van Buchem disease,,disease,Unclassified
748,Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,,disease,Cancer
752,Pallidopontonigral degeneration,,disease,Neurological
753,Supranuclear palsy,,disease,Neurological
754,Tauopathy and respiratory failure,,disease,Neurological
766,PPM-X syndrome,,disease,Neurological
769,Adrenal adenoma,,disease,Cancer
770,"Angiofibroma, sporadic",,disease,Endocrine
771,Carcinoid tumor of lung,,disease,Cancer
774,"Prolactinoma, hyperparathyroidism, carcinoid syndrome",,disease,Endocrine
781,Tietz syndrome,,disease,Multiple
792,Myeloperoxidase deficiency,,disease,Immunological
794,Lynch cancer family syndrome II,,disease,Cancer
798,Witkop syndrome,,disease,Developmental
810,Neurofibrosarcoma,,disease,Cancer
816,Trismus-pseudocomptodactyly syndrome,,disease,Multiple
817,Epstein syndrome,,disease,Hematological
818,Fechtner syndrome,,disease,Multiple
819,May-Hegglin anomaly,,disease,Hematological
820,Sebastian syndrome,,disease,Hematological
826,Nijmegen breakage syndrome,,disease,Multiple
828,Coats disease,,disease,Ophthamological
829,Norrie disease,,disease,Neurological
833,Neurofibromatosis,,disease,Cancer
834,Neurobromatosis-Noonan syndrome,,disease,Cancer
835,Watson syndrome,,disease,Cancer
836,Schwannomatosis,,disease,Cancer
841,Coronary spasms,,disease,Cardiovascular
842,Placental abruption,,disease,Unclassified
852,Insensitivity to pain,,disease,Neurological
868,Leprosy,,disease,Immunological
871,Craniofacial-deafness-hand syndrome,,disease,Multiple
872,"Aniridia, type II",,disease,Ophthamological
874,Eye anomalies,,disease,Ophthamological
875,Foveal hypoplasia,,disease,Ophthamological
876,Keratitis,,disease,Ophthamological
877,Morning glory disc anomaly,,disease,Skeletal
878,Optic nerve hypoplasia/aplasia,,disease,Ophthamological
879,Oligodontia,,disease,Skeletal
882,Dermatobrosarcoma protuberans,,disease,Cancer
883,Giant-cell fibroblastoma,,disease,Cancer
884,Hypereosinophilic syndrome,,disease,Hematological
887,Ossication of the posterior longitudinal spinal ligaments,,disease,Connective tissue disorder
888,Enlarged vestibular aqueduct,,disease,"Ear,Nose,Throat"
889,Pendred syndrome,,disease,"Ear,Nose,Throat"
897,Myoglobinuria/hemolysis due to PGK deciency,,disease,Metabolic
902,Emphysema,,disease,Respiratory
904,Ring dermoid of cornea,,disease,Ophthamological
909,Nevo syndrome,,disease,Connective tissue disorder
911,Pelizaeus-Merzbacher disease,,disease,Neurological
912,Neuroectodermal tumors,,disease,Multiple
923,Adrenocortical carcinoma,,disease,Cancer
924,"Myxoma, intracardiac",,disease,Cardiovascular
925,"Pigmented adrenocortical disease, primary isolated",,disease,Cancer
928,Gerstmann-Straussler disease,,disease,Neurological
929,Prion disease with protracted course,,disease,Neurological
935,Pick disease,,disease,Neurological
939,Basal cell nevus syndrome,,disease,Multiple
941,Bannayan-Riley-Ruvalcaba syndrome,,disease,Unclassified
942,Lhermitte-Duclos syndrome,,disease,Cancer
943,Oligodendroglioma,,disease,Cancer
944,VATER association with hydrocephalus,,disease,Multiple
947,Leopard syndrome,,disease,Multiple
948,Noonan syndrome,,disease,Developmental
949,Zlotogora-Ogur syndrome,,disease,Multiple
954,Capillary malformations,,disease,Cardiovascular
955,Parkes Weber syndrome,,disease,Multiple
956,Retinoblastoma,,disease,Cancer
958,"Butterfly dystrophy, retinal",,disease,Ophthamological
959,"Foveomacular dystrophy, adult-onset, with choroidal neovascularization",,disease,Ophthamological
960,Hyperproreninemia,,disease,Cardiovascular
961,"Colonic aganglionosis, total, with small bowel involvement",,disease,Gastrointestinal
962,Rh-mod syndrome,,disease,Hematological
965,Bothnia retinal dystrophy,,disease,Ophthamological
966,Newfoundland rod-cone dystrophy,,disease,Ophthamological
969,Coffin-Lowry syndrome,,disease,Multiple
974,"Cramps, potassium-aggravated",,disease,Muscular
975,Hyperkalemic periodic paralysis,,disease,Neurological
976,Paramyotonia congenita,,disease,Muscular
977,Brugada syndrome,,disease,Cardiovascular
978,Heart block,,disease,Cardiovascular
979,Sick sinus syndrome,,disease,Cardiovascular
980,"Ventricular brillation, idiopathic",,disease,Cardiovascular
986,"Carcinoid tumors, intestinal",,disease,Cancer
987,Merkel cell carcinoma,,disease,Cancer
991,Solitary median maxillary central incisor,,disease,Skeletal
996,Fanconi-Bickel syndrome,,disease,Metabolic
1002,Anxiety-related personality traits,,disease,Psychiatric
1003,"Creatine deciency syndrome, X-linked",,disease,Neurological
1012,Infundibular hypoplasia and hypopituitarism,,disease,Endocrine
1015,PCWH,,disease,Neurological
1016,Yemenite deaf-blind hypopigmentation syndrome,,disease,Multiple
1020,Pyropoikilocytosis,,disease,Hematological
1025,Peutz-Jeghers syndrome,,disease,Cancer
1027,Hypoglycemia,,disease,Metabolic
1029,Wegener granulomatosis,,disease,Immunological
1033,Barth syndrome,,disease,Multiple
1034,Noncompaction of left ventricular myocardium,,disease,Cardiovascular
1040,"Glomerulocystic kidney disease, hypoplastic",,disease,Renal
1047,Autoimmune thyroid disease,,disease,Endocrine
1051,Self-healing collodion baby,,disease,Dermatological
1065,Adrenal cortical carcinoma,,disease,Cancer
1066,Histiocytoma,,disease,Cancer
1068,Multiple malignancy syndrome,,disease,Cancer
1069,Nasopharyngeal carcinoma,,disease,Cancer
1072,Hyperthyroidism,,disease,Endocrine
1073,Total iodide organication defect,,disease,Endocrine
1078,Hyperthroidism,,disease,Endocrine
1080,Amyloid neuropathy,,disease,Neurological
1081,"Carpal tunnel syndrome, familial",,disease,Unclassified
1082,Dystransthyretinemic hyperthyroxinemia,,disease,Hematological
1089,"Hemangioblastoma, cerebellar",,disease,Cancer
1091,"Maculopathy, bull's-eye",,disease,Ophthamological
1092,Vitelliform macular dystrophy,,disease,Ophthamological
1094,Wiskott-Aldrich syndrome,,disease,Immunological
1099,Denys-Drash syndrome,,disease,Renal
1100,Frasier syndrome,,disease,Multiple
1101,Mesangial sclerosis,,disease,Renal
1102,WAGR syndrome,,disease,Multiple
1120,Salivary adenoma,,disease,Cancer
1121,Uterine leiomyoma,,disease,Cancer
1130,Miyoshi myopathy,,disease,Muscular
1132,Oligodontia-colorectal cancer syndrome,,disease,Cancer
1136,Incontinentia pigmenti,,disease,Dermatological
1148,Arthropathy,,disease,Bone
1152,Mesothelioma,,disease,Cancer
1153,Sezary syndrome,,disease,Cancer
1174,Myotilinopathy,,disease,Muscular
1181,Enhanced S-cone syndrome,,disease,Ophthamological
1198,Netherton syndrome,,disease,Dermatological
1208,Pigmented paravenous chorioretinal atrophy,,disease,Ophthamological
1221,Silver spastic paraplegia syndrome,,disease,Neurological
1227,"Craniofacial anomalies, empty sella turcica, corneal endothelial changes",,disease,Multiple
1228,Keratoconus,,disease,Ophthamological
1232,"Immunodysregulation, polyendocrinopathy, and enteropathy, X-linked",,disease,Multiple
1238,IgE levels QTL,,disease,Immunological
1242,Wolff-Parkinson-White syndrome,,disease,Cardiovascular
1270,Primary lateral sclerosis,,disease,Neurological
1285,3-methylglutaconicaciduria,,disease,Metabolic
1289,Convulsions,,disease,Neurological
1303,Infantile spasm syndrome,,disease,Neurological
1304,Partington syndrome,,disease,Neurological
1305,Proud syndrome,,disease,Multiple
1306,Birt-Hogg-Dube syndrome,,disease,Dermatological
1307,"Pneumothorax, primary spontaneous",,disease,Respiratory
